,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day,Diet..LF.or.HF.,cal.g,FEED.KCAL.,FEED.ACC.Kcal.,room.temperature.C
91,1_D1,45.57,101,5/12/15 12:55,119.43897,91.09443,0.57145942,0.762685998,0,5.45,NA,NA,295,58,NA,NA,NA,NA,NA,5/12/15 12:00,5/13/15,27,1,HF,5.21,0,28.3945,22
92,1_D1,45.57,101,5/12/15 13:13,118.0263,86.99313,0.56135605,0.737065637,0.08,5.53,NA,NA,152,54,NA,NA,NA,NA,NA,5/12/15 13:00,5/13/15,28,1,HF,5.21,0.4168,28.8113,22
93,1_D1,45.57,EVENT,5/12/15 13:31,146.87211,119.94024,0.711476891,0.816630469,0.14,5.67,NA,NA,1094,438,NA,NA,NA,NA,NA,5/12/15 13:00,5/13/15,28,1,HF,5.21,0.7294,29.5407,22
94,1_D1,45.57,101,5/12/15 13:49,142.22397,107.59077,0.679500057,0.756488305,0.01,5.68,NA,NA,669,374,NA,NA,NA,NA,NA,5/12/15 13:00,5/13/15,28,1,HF,5.21,0.0521,29.5928,22
95,1_D1,45.57,EVENT,5/12/15 14:07,148.19364,113.87943,0.709981785,0.768450185,0.03,5.71,NA,NA,1340,639,NA,NA,NA,NA,NA,5/12/15 14:00,5/13/15,29,1,HF,5.21,0.1563,29.7491,22
96,1_D1,45.57,101,5/12/15 14:25,114.3807,81.16017,0.540537487,0.709561753,0,5.71,NA,NA,104,17,NA,NA,NA,NA,NA,5/12/15 14:00,5/13/15,29,1,HF,5.21,0,29.7491,22
97,1_D1,45.57,101,5/12/15 14:43,114.60855,81.06903,0.541334643,0.707355865,0.01,5.72,NA,NA,114,30,NA,NA,NA,NA,NA,5/12/15 14:00,5/13/15,29,1,HF,5.21,0.0521,29.8012,22
98,1_D1,45.57,101,5/12/15 15:01,129.23652,96.88182,0.616472418,0.749647391,0.17,5.89,NA,NA,236,59,NA,NA,NA,NA,NA,5/12/15 15:00,5/13/15,30,1,HF,5.21,0.8857,30.6869,22
99,1_D1,45.57,101,5/12/15 15:19,121.17063,95.2413,0.582870331,0.786009778,0,5.89,NA,NA,330,75,NA,NA,NA,NA,NA,5/12/15 15:00,5/13/15,30,1,HF,5.21,0,30.6869,22
100,1_D1,45.57,101,5/12/15 15:37,115.65666,86.94756,0.551966898,0.75177305,0,5.89,NA,NA,131,20,NA,NA,NA,NA,NA,5/12/15 15:00,5/13/15,30,1,HF,5.21,0,30.6869,22
101,1_D1,45.57,101,5/12/15 15:55,118.482,94.64889,0.571619234,0.798846154,0.1,5.99,NA,NA,211,52,NA,NA,NA,NA,NA,5/12/15 15:00,5/13/15,30,1,HF,5.21,0.521,31.2079,22
102,1_D1,45.57,101,5/12/15 16:13,146.00628,122.1276,0.710483875,0.836454432,0.01,6,NA,NA,821,287,NA,NA,NA,NA,NA,5/12/15 16:00,5/13/15,31,1,HF,5.21,0.0521,31.26,22
103,1_D1,45.57,101,5/12/15 16:31,123.9504,95.65143,0.594279008,0.771691176,0.06,6.06,NA,NA,424,101,NA,NA,NA,NA,NA,5/12/15 16:00,5/13/15,31,1,HF,5.21,0.3126,31.5726,22
104,1_D1,45.57,101,5/12/15 16:49,112.42119,85.17033,0.537250295,0.757600324,0.09,6.15,NA,NA,153,35,NA,NA,NA,NA,NA,5/12/15 16:00,5/13/15,31,1,HF,5.21,0.4689,32.0415,22
105,1_D1,45.57,101,5/12/15 17:07,114.88197,93.37293,0.556020304,0.812772709,0.14,6.29,NA,NA,151,32,NA,NA,NA,NA,NA,5/12/15 17:00,5/13/15,32,1,HF,5.21,0.7294,32.7709,22
106,1_D1,45.57,101,5/12/15 17:25,129.55551,104.76543,0.62644883,0.808652832,0.06,6.35,NA,NA,260,113,NA,NA,NA,NA,NA,5/12/15 17:00,5/13/15,32,1,HF,5.21,0.3126,33.0835,22
107,1_D1,45.57,101,5/12/15 17:43,129.00867,102.48693,0.621773713,0.794418933,0.1,6.45,NA,NA,133,43,NA,NA,NA,NA,NA,5/12/15 17:00,5/13/15,32,1,HF,5.21,0.521,33.6045,22
108,1_D1,45.57,101,5/12/15 18:01,123.039,100.39071,0.595928824,0.815925926,0.09,6.54,NA,NA,326,92,NA,NA,NA,NA,NA,5/12/15 18:00,5/13/15,33,1,HF,5.21,0.4689,34.0734,22
109,1_D1,45.57,101,5/12/15 18:19,141.40371,115.06425,0.684533082,0.81372865,0,6.54,NA,NA,500,78,NA,NA,NA,NA,NA,5/12/15 18:00,5/13/15,33,1,HF,5.21,0,34.0734,22
110,1_D1,45.57,101,5/12/15 18:37,142.04169,111.91992,0.683569732,0.787937119,0,6.54,NA,NA,746,157,NA,NA,NA,NA,NA,5/12/15 18:00,5/13/15,33,1,HF,5.21,0,34.0734,22
111,1_D1,45.57,101,5/12/15 18:55,138.80622,103.39833,0.661393866,0.744911359,0,6.54,NA,NA,436,106,NA,NA,NA,NA,NA,5/12/15 18:00,5/13/15,33,1,HF,5.21,0,34.0734,22
112,1_D1,45.57,101,5/12/15 19:13,178.58883,134.15808,0.852197416,0.751212044,0.53,7.07,NA,NA,1526,711,NA,NA,NA,NA,NA,5/12/15 19:00,5/13/15,34,1,HF,5.21,2.7613,36.8347,22
