"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
97,"V13",18.86,13.4804,1.393305,"Full day","Vanderbilt",0.225572303,0.080696824,19.17364578,8.18972,68.44669513,61.56512886,0.337839458,0.888160027,0.107713674,NA,0.630410897,0.747850321,-0.112267155,TRUE
98,"V13",18.86,13.4804,1.393305,"Light","Vanderbilt",0.15811661,0.045022348,19.17364578,8.18972,61.94639817,53.94593395,0.303794958,0.862824893,0.063663398,NA,0.27819504,0.351395833,-0.145678348,TRUE
99,"V13",18.86,13.4804,1.393305,"Dark","Vanderbilt",0.305135429,0.12277441,19.17064708,8.098884,76.03037491,70.45418958,0.377558042,0.917717684,0.159105663,NA,1.041329398,1.210380556,-0.072422613,TRUE
100,"V14",19.015,13.43955,1.24546,"Light","Vanderbilt",0.223000555,0.045529661,27.10678494,7.173854,68.03862819,58.43538609,0.33276977,0.851514002,0.128570582,NA,0.250994048,0.375685119,-0.109769215,TRUE
101,"V14",19.015,13.43955,1.24546,"Dark","Vanderbilt",0.432019472,0.105355795,25.91662574,6.865919,83.49908519,76.57704194,0.413764101,0.907728862,0.248401944,NA,1.133644676,1.356579167,0.018255371,TRUE
102,"V14",19.015,13.43955,1.24546,"Full day","Vanderbilt",0.318903352,0.072979299,27.10678494,7.173854,75.17422373,66.80845802,0.370151769,0.877459322,0.183877365,NA,0.658371261,0.828405449,-0.051248417,TRUE
103,"V15",18.805,13.18985,1.619665,"Dark","Vanderbilt",0.457889393,0.110698308,29.50185236,9.501287,79.0008631,74.45453688,0.393689117,0.93139104,0.243461966,NA,1.43563912,1.641056713,0.064200276,TRUE
104,"V15",18.805,13.18985,1.619665,"Light","Vanderbilt",0.279176811,0.062439652,30.56648636,9.726071,62.84842867,54.65637387,0.308135608,0.862717325,0.112158032,NA,0.405350794,0.519568254,-0.028958797,TRUE
105,"V15",18.805,13.18985,1.619665,"Full day","Vanderbilt",0.361174349,0.084581859,30.56648636,9.726071,70.30339841,63.79398756,0.347621843,0.894412886,0.172759848,NA,0.880868483,1.037178312,0.013552506,TRUE
106,"V16",16.7,11.25405,2.094025,"Full day","Vanderbilt",0.296474559,0.078476201,25.20033754,7.638165,63.41832329,59.11595819,0.315313862,0.924408217,0.145400672,NA,0.515301816,0.646499145,-0.018839303,TRUE
